MEDIAN	SYMBOL
146	HUMGT198A
100	TCFL4
2263	SMARCA4
10	JUN
1842	PSMD8
3577	EPB41L2
102	KIAA0217
30	ZFP36L2
39	ZFP36L2
1264	CHAF1A
1333	NCL
3585	HCDI
646	KIAA0323
96	KIAA0084
1472	CCT4
764	GRSF1
1032	RBL2
2823	RBL2
1945	NELL2
2516	TSC1
3340	RPS20
152	RAP1GDS1
211	RPA2
144	BASP1
2130	H2AFO
3991	PBP
338	DARS
2233	LYN
71	DR1
4496	DNM2
3894	GABBR1
1189	DKFZp566D133
3729	GFPT1
191	ZNF161
4697	BTN3A1
3714	BTN3A1
3912	TRIM33
176	SMG1
482	SMG1
293	NLP_1
2667	ICAM1
97	AS3
178	GBE1
786	KIAA0169
473	PDE4DIP
1725	KIAA0449
5525	VTI2
138	TCF7
1033	SMAP
4486	SMAP
3433	KIAA0036
2223	SACM2L
1510	EIF2B
81	KIAA0342
3054	KIAA0170
3903	KIAA0170
149	PPM1B
154	SSBP2
51	SOCS5
4665
2647	BTN2A1
132	NP220
3856	ALDH6A1
253	KIAA0009
3303	KIAA0551
407	SLC9A1
2250	TMPO
198	TMPO
104	FLJ38045
3790	KIAA1040
824	HTATSF1
3253	PBX3
124	IMPA1
2508	RPS20
174	GBP2
580	DOCK2
46	HIRA
3769	KATNA1
3039	GOLGA1
2209	VAMP8
3873	DGKA
2270	NEURL
336	APG12L
157	APG12L
45	CSTF1
4052	PHYH
16	BID
4034	MYH3
3581	FE65L2
194	MRPS14
323	PPP2R5E
1360	KIAA0931
2572	HSPC022
4286	RAC2
109	NDUFS2
3624	AGM1
104	Rab11-FIP2
125	RAB5EP
81	RAB5EP
2227	KIAA0453
3279
122	NLVCF
2373	CFLAR
1114	ALDH2
2890	RPS27
1407	FLNA
179	FLNA
2477	ILF3
1306	NDUFA7
675	SF3B3
310	ACTA2
171	ECH1
86	RAE1
69	RAE1
4012	SRRM2
192	RAB3-GAP150
4118	PGCP
375	G22P1
306	SIL
782	FLJ21007
546	HLA-DQA1
5917	NDUFB8
3219	PLSCR1
40	WRB
484	ITPR1
2532	ITPR1
1510	BPAG1
3531	PRPF4B
171	EIF3S10
130	JUNB
59	RANBP2
4081	NCBP2
439	NCBP2
319	MAC30
320	P29
3561	TRB
2586	TRB
3471	SCAMP3
182	RXRA
785	KIAA0317
3426	TEB4
486	CNIL
235	RBM5
3412	BZRP
3140	DKFZP566C134
2732	ITGB1
168
4280	MYO1C
1743	IFIT1
205
1368	SGT
1394	H2B/S
81	CNOT4
2954	SLC25A4
184	VPS11
2720	CLN2
577	HRMT1L2
51	RRAS2
86	TIMM17A
3478	TIMM17A
220	TIMM17A
386	MAEA
43	CLK1
3258	SUDD
3709	SUDD
468	AGPAT1
725	AGPAT2
143	ZNF9
5286	CSNK2B
1171	EIF4G1
147	KTN1
2891	PSMC4
895	SMC1L1
363	NUP153
1057	CUGBP2
590	TOMM70A
66	FBXW1B
3093	LDLR
101	SOS2
151	UBN1
1327	STAT1
3504	STAT1
3654	CD28
274	KIAA0605
4028	MRE11A
321	MRE11A
2613
4576	TCF3
2837
212
3850
3928	KR18
3919	LTK
2946	GGT2
4536	RORA
2552	NUMA1
44	IFRD1
123	PRF1
4323	KIAA1718
411
75	PTPRE
3917
96	SMA4
178
2241
2148	AMMECR1
148	CD5
2909	DKFZP434D193
667	HSPC132
1610	ATP6V1B1
163	IRLB
2381	RAGD
193	EMR1
651	TOSO
511	HABP4
91	RRP4
25	RRP4
167	C6orf32
3715	H2BFL
58	TUBA1
2855	NCK2
2146	NCK2
1257	NTSR2
2859	TNFSF8
3419	MAFK
3913
1979	CMA1
1362
157	MGC3794
3472	CHST7
3246	TRIM
2266
157	H2BFN
766	PDCD1
3367	IL18RAP
1467	ADD3
2178	ADD3
2003	PHRET1
109	TRIM37
1378	BY55
33	CITED2
208	RPS12
1555	RPS12
3672	RGS10
127	RGS10
39	HRIHFB2206
340	VRK2
302	FLJ10335
421	AD-017
668	CPSF1
2308	FLII
4764	ADCY3
4602	SLC19A1
198	UBE2I
532	LTBP4
70	SLC16A3
427	MCL1
2263	ZFR
676	HEAB
59	SAS10
193
37	ARF6
518	PSMB4
2920	MGC15523
3441	GCLM
76	TESK2
1110	FLJ13949
184	TRADD
4312
180	KIAA0962
